graph,seed,INF,time
graph1,"[{},{154,28}]",42.85,4.597093
graph1,"[{},{154,28}]",44.95,4.627458
graph1,"[{118},{154}]",60.86,6.06289
graph1,"[{},{154,28}]",44.39,4.583028
graph1,"[{},{154,28}]",45.98,4.657887
graph1,"[{118},{154}]",59.02,6.216218
graph1,"[{},{154,28}]",44.62,4.79108
graph1,"[{118},{154}]",59.11,6.271206
graph1,"[{},{154,28}]",44.58,4.79319
graph1,"[{},{154,28}]",44.44,4.601126
graph1,"[{16},{50}]",27.43,19.260226
graph1,"[{52},{62}]",16.54,19.26148
graph1,"[{74},{42}]",21.75,19.3322
graph1,"[{81},{61}]",24.98,20.212546
graph1,"[{205},{130}]",20.24,20.151573
graph1,"[{190},{72}]",13.34,19.182788
graph1,"[{238},{209}]",26.89,19.446513
graph1,"[{66},{235}]",21.25,19.344831
graph1,"[{178},{157}]",19.05,20.129746
graph1,"[{202},{188}]",8.65,19.495541
graph1,"[{178},{29}]",21.53,19.860342
graph1,"[{153},{65}]",30.35,18.957048
graph1,"[{8},{195}]",23.02,19.266289
graph1,"[{44},{109}]",23.73,19.040704
graph1,"[{123},{219}]",19.88,18.893532
graph1,"[{102},{184}]",14.66,18.877669
graph1,"[{208},{69}]",17.59,19.198541
graph1,"[{24},{236}]",9.61,18.959824
graph1,"[{38},{58}]",30.87,19.122451
graph1,"[{85},{218}]",17.08,18.967947
graph1,"[{132},{28}]",41.52,19.220473
graph1,"[{82},{63}]",23.77,19.062725
graph1,"[{83},{20}]",13.68,18.874601
graph1,"[{44},{238}]",24.49,19.471939
graph1,"[{208},{126}]",19.71,20.064519
graph1,"[{6},{153}]",27.97,19.169348
graph1,"[{95},{226}]",17.45,19.112417
graph1,"[{93},{71}]",14.93,18.986612
graph1,"[{116},{92}]",25.79,19.177344
graph1,"[{163},{54}]",32.04,19.171177
