graph,seed,INF,time
graph6,"[(), (55,)]",28.052,0.0
graph6,"[(43,), (55,)]",49.795,11.03
graph6,"[(43, 195), (55,)]",65.29,100.19
graph6,"[(43, 195), (55, 74)]",77.984,178.89999999999998
graph6,"[(43, 195, 34), (55, 74)]",86.206,426.68999999999994
graph6,"[(43, 195, 34), (55, 74, 17)]",92.888,525.75
graph6,"[(43, 195, 34), (55, 74, 17, 197)]",98.871,592.42
graph6,"[(43, 195, 34, 124), (55, 74, 17, 197)]",104.827,601.88
graph6,"[(43, 195, 34, 124, 180), (55, 74, 17, 197)]",108.64,823.52
graph6,"[(43, 195, 34, 124, 180, 140), (55, 74, 17, 197)]",112.293,834.43
graph6,"[(102,), ()]",4.23,0.820224
graph6,"[(154,), ()]",13.52,1.614017
graph6,"[(177,), ()]",13.52,1.717187
graph6,"[(71,), (125,)]",16.98,2.383279
graph6,"[(80,), (73,)]",7.09,1.333041
graph6,"[(95,), (92,)]",11.06,1.702717
graph6,"[(150, 76), (0,)]",32.05,3.539202
graph6,"[(182, 175), (132,)]",26.08,2.854387
graph6,"[(95, 3), (87,)]",23.4,2.62337
graph6,"[(114, 150), (132, 56)]",34.7,3.68545
graph6,"[(154, 105), (35, 80)]",31.6,3.302837
graph6,"[(88, 36), (32, 103)]",43.41,4.110139
graph6,"[(91, 203, 118), (7, 141)]",47.63,4.351437
graph6,"[(158, 166, 140), (89, 51)]",42.15,4.059184
graph6,"[(80, 160, 53), (59, 102)]",33.41,3.463283
graph6,"[(164, 154, 43), (138, 94, 82)]",62.75,5.012309
graph6,"[(152, 168, 141), (133, 82, 13)]",40.02,3.614444
graph6,"[(13, 80, 179), (141, 111, 169)]",34.96,3.350767
graph6,"[(166, 129, 194, 138), (174, 86, 90)]",61.32,4.859772
graph6,"[(83, 148, 65, 35), (197, 189, 154)]",48.14,4.141901
graph6,"[(201, 163, 33, 52), (189, 159, 177)]",45.61,4.110107
graph6,"[(73, 72, 191, 96), (22, 75, 90, 3)]",44.52,3.934914
graph6,"[(103, 138, 16, 118), (168, 94, 25, 147)]",70.07,5.17248
graph6,"[(78, 18, 70, 178), (52, 167, 140, 128)]",58.36,4.807028
graph6,"[(81, 139, 198, 87, 47), (40, 5, 8, 26)]",49.26,4.206907
graph6,"[(146, 150, 6, 172, 131), (44, 108, 95, 17)]",67.33,5.043674
graph6,"[(84, 112, 1, 119, 65), (57, 10, 152, 127)]",56.37,4.54204
graph6,"[(105, 32, 11, 74, 28), (189, 66, 34, 176, 177)]",72.24,5.262167
graph6,"[(66, 62, 95, 122, 131), (85, 109, 37, 126, 159)]",70.38,5.156003
graph6,"[(199, 41, 176, 197, 111), (36, 20, 104, 160, 98)]",71.83,5.196071
