graph,seed,INF,time
graph22,"[(179,), ()]",32.365,0.0
graph22,"[(179,), (52,)]",56.121,14.68
graph22,"[(179,), (52, 219)]",71.982,134.86
graph22,"[(179, 44), (52, 219)]",88.11,151.71
graph22,"[(179, 44), (52, 219, 223)]",97.501,475.52
graph22,"[(179, 44), (52, 219, 223, 148)]",105.798,643.0699999999999
graph22,"[(179, 44, 3), (52, 219, 223, 148)]",112.721,714.6899999999999
graph22,"[(179, 44, 3, 193), (52, 219, 223, 148)]",118.508,826.28
graph22,"[(179, 44, 3, 193, 43), (52, 219, 223, 148)]",124.228,842.62
graph22,"[(179, 44, 3, 193, 43), (52, 219, 223, 148, 229)]",128.14,1019.56
graph22,"[(182,), ()]",11.37,1.381369
graph22,"[(81,), ()]",11.74,1.391242
graph22,"[(108,), ()]",2.02,0.565178
graph22,"[(234,), (227,)]",23.26,2.684743
graph22,"[(69,), (147,)]",18.58,2.21367
graph22,"[(63,), (160,)]",17.17,2.325703
graph22,"[(126, 103), (130,)]",38.32,3.430792
graph22,"[(103, 69), (232,)]",39.7,3.620239
graph22,"[(62, 2), (134,)]",15.47,2.067466
graph22,"[(127, 171), (0, 208)]",42.31,3.702575
graph22,"[(168, 156), (21, 36)]",29.41,3.00832
graph22,"[(28, 75), (203, 145)]",37.68,3.546463
graph22,"[(138, 60, 167), (191, 197)]",38.97,3.552913
graph22,"[(165, 32, 148), (191, 96)]",44.78,3.974405
graph22,"[(28, 81, 75), (176, 127)]",40.27,3.565527
graph22,"[(32, 81, 17), (83, 217, 10)]",56.51,4.481605
graph22,"[(50, 106, 163), (137, 36, 213)]",58.47,4.514361
graph22,"[(6, 221, 34), (165, 208, 117)]",44.68,3.890156
graph22,"[(61, 161, 213, 78), (223, 53, 211)]",72.75,5.209686
graph22,"[(43, 114, 143, 39), (141, 37, 108)]",67.79,4.481054
graph22,"[(206, 41, 181, 80), (129, 97, 110)]",49.7,4.155796
graph22,"[(117, 202, 168, 240), (234, 233, 97, 27)]",66.05,4.856293
graph22,"[(2, 119, 68, 115), (195, 159, 44, 4)]",62.44,4.459273
graph22,"[(10, 54, 1, 75), (176, 49, 187, 26)]",61.38,4.70844
graph22,"[(73, 211, 63, 98, 76), (88, 31, 166, 8)]",54.01,4.367214
graph22,"[(234, 20, 182, 239, 4), (125, 34, 208, 78)]",68.26,4.859356
graph22,"[(68, 151, 147, 184, 42), (66, 37, 20, 223)]",73.27,5.144734
graph22,"[(185, 60, 161, 122, 215), (42, 83, 12, 106, 94)]",73.21,5.019249
graph22,"[(132, 172, 141, 74, 113), (213, 81, 189, 155, 188)]",62.5,4.612906
graph22,"[(177, 101, 79, 118, 8), (163, 34, 92, 77, 58)]",57.77,4.476426
