graph,seed,INF,time
graph27,"[(25,), ()]",37.319,0.0
graph27,"[(25,), (134,)]",61.012,15.72
graph27,"[(25, 31), (134,)]",75.726,166.44
graph27,"[(25, 31), (134, 13)]",87.249,289.23
graph27,"[(25, 31), (134, 13, 56)]",96.769,413.42
graph27,"[(25, 31), (134, 13, 56, 38)]",103.617,669.19
graph27,"[(25, 31, 190), (134, 13, 56, 38)]",110.94,718.22
graph27,"[(25, 31, 190), (134, 13, 56, 38, 111)]",115.948,878.0500000000001
graph27,"[(25, 31, 190, 147), (134, 13, 56, 38, 111)]",120.393,938.1700000000001
graph27,"[(25, 31, 190, 147), (134, 13, 56, 38, 111, 105)]",124.424,988.1300000000001
graph27,"[(52,), ()]",8.38,1.082464
graph27,"[(74,), ()]",4.74,0.837302
graph27,"[(39,), ()]",12.83,1.521893
graph27,"[(192,), (107,)]",11.44,1.733041
graph27,"[(91,), (37,)]",14.04,1.90469
graph27,"[(26,), (116,)]",16.68,2.160804
graph27,"[(144, 76), (141,)]",37.7,3.582858
graph27,"[(155, 181), (95,)]",31.79,3.175142
graph27,"[(182, 38), (104,)]",35.32,3.244758
graph27,"[(168, 193), (22, 171)]",35.31,3.389588
graph27,"[(187, 115), (23, 20)]",45.88,4.129214
graph27,"[(141, 101), (183, 113)]",48.7,4.153919
graph27,"[(132, 174, 13), (85, 195)]",58.13,4.625281
graph27,"[(172, 8, 164), (195, 157)]",43.71,3.952266
graph27,"[(86, 178, 98), (145, 84)]",30.61,2.909262
graph27,"[(116, 176, 94), (65, 88, 2)]",61.0,4.740872
graph27,"[(169, 49, 120), (204, 44, 191)]",50.12,4.082129
graph27,"[(79, 65, 142), (74, 2, 136)]",40.43,3.670632
graph27,"[(179, 129, 163, 112), (74, 110, 205)]",47.93,4.068599
graph27,"[(101, 87, 89, 188), (39, 142, 80)]",47.94,4.057648
graph27,"[(197, 1, 14, 120), (140, 102, 94)]",58.68,4.589546
graph27,"[(148, 68, 210, 55), (85, 146, 150, 91)]",61.12,4.585276
graph27,"[(70, 60, 192, 136), (24, 116, 193, 170)]",52.0,4.197371
graph27,"[(102, 214, 150, 199), (88, 136, 172, 15)]",70.81,5.065264
graph27,"[(189, 187, 93, 204, 71), (145, 123, 171, 101)]",63.1,4.766591
graph27,"[(61, 63, 137, 111, 107), (105, 145, 123, 22)]",90.49,5.629745
graph27,"[(192, 9, 69, 154, 13), (150, 70, 90, 84)]",55.42,4.137726
graph27,"[(69, 117, 200, 57, 42), (83, 142, 70, 146, 122)]",54.38,4.211729
graph27,"[(68, 212, 184, 195, 140), (173, 191, 11, 196, 56)]",84.86,5.254076
graph27,"[(47, 197, 16, 53, 15), (116, 135, 200, 46, 143)]",81.53,5.371369
