graph,seed,INF,time
graph23,"[(), (30,)]",33.415,0.0
graph23,"[(104,), (30,)]",60.584,4.29
graph23,"[(104, 123), (30,)]",76.919,125.08000000000001
graph23,"[(104, 123), (30, 40)]",87.271,394.71000000000004
graph23,"[(104, 123, 173), (30, 40)]",96.165,523.58
graph23,"[(104, 123, 173), (30, 40, 187)]",104.86,587.71
graph23,"[(104, 123, 173, 61), (30, 40, 187)]",112.416,701.87
graph23,"[(104, 123, 173, 61), (30, 40, 187, 148)]",117.632,818.61
graph23,"[(104, 123, 173, 61), (30, 40, 187, 148, 76)]",122.315,870.83
graph23,"[(104, 123, 173, 61), (30, 40, 187, 148, 76, 136)]",126.585,967.24
graph23,"[(184,), ()]",1.6,0.523109
graph23,"[(27,), ()]",11.01,1.383646
graph23,"[(74,), ()]",15.73,1.722631
graph23,"[(187,), (119,)]",26.22,2.883528
graph23,"[(60,), (79,)]",15.55,1.989685
graph23,"[(237,), (117,)]",24.54,2.576625
graph23,"[(73, 144), (124,)]",25.71,2.626863
graph23,"[(56, 197), (74,)]",37.98,3.582901
graph23,"[(18, 69), (46,)]",17.69,2.22866
graph23,"[(72, 111), (234, 148)]",42.05,3.822799
graph23,"[(108, 10), (116, 12)]",30.82,3.031978
graph23,"[(87, 14), (94, 6)]",46.05,3.8389
graph23,"[(204, 173, 82), (167, 155)]",53.93,4.420839
graph23,"[(64, 180, 121), (234, 144)]",40.83,3.775143
graph23,"[(65, 48, 154), (169, 32)]",41.56,3.781157
graph23,"[(229, 153, 101), (122, 199, 222)]",57.72,4.505498
graph23,"[(236, 180, 36), (199, 7, 49)]",47.35,4.100771
graph23,"[(50, 155, 94), (168, 1, 80)]",57.72,4.591419
graph23,"[(33, 165, 241, 230), (192, 209, 146)]",52.48,4.246595
graph23,"[(158, 146, 24, 235), (69, 234, 171)]",62.46,4.727965
graph23,"[(186, 42, 165, 37), (211, 124, 15)]",34.91,3.083019
graph23,"[(106, 51, 168, 104), (1, 45, 196, 149)]",77.94,5.322374
graph23,"[(66, 228, 105, 68), (123, 159, 230, 186)]",69.46,5.017165
graph23,"[(44, 32, 239, 198), (128, 170, 25, 142)]",69.22,5.016101
graph23,"[(90, 198, 145, 18, 161), (65, 92, 10, 221)]",66.43,4.78798
graph23,"[(100, 5, 175, 158, 99), (115, 150, 206, 7)]",69.75,4.980264
graph23,"[(96, 213, 124, 160, 85), (16, 127, 153, 36)]",77.17,5.231985
graph23,"[(114, 22, 57, 109, 89), (112, 15, 24, 146, 233)]",76.61,5.126198
graph23,"[(166, 128, 66, 115, 233), (213, 71, 32, 14, 65)]",75.97,5.157711
graph23,"[(160, 242, 226, 127, 18), (106, 101, 52, 23, 60)]",64.71,4.744868
