graph,seed,INF,time
graph8,"[(180,), ()]",32.242,0.0
graph8,"[(180,), (158,)]",56.499,13.52
graph8,"[(180, 103), (158,)]",71.234,151.97
graph8,"[(180, 103), (158, 194)]",82.597,284.12
graph8,"[(180, 103, 212), (158, 194)]",92.59,452.55
graph8,"[(180, 103, 212), (158, 194, 7)]",98.911,701.77
graph8,"[(180, 103, 212), (158, 194, 7, 171)]",104.068,789.03
graph8,"[(180, 103, 212, 60), (158, 194, 7, 171)]",108.796,829.5699999999999
graph8,"[(180, 103, 212, 60), (158, 194, 7, 171, 14)]",114.804,842.56
graph8,"[(180, 103, 212, 60), (158, 194, 7, 171, 14, 72)]",118.892,902.4599999999999
graph8,"[(192,), ()]",5.87,0.950866
graph8,"[(73,), ()]",9.23,1.271932
graph8,"[(89,), ()]",3.19,0.718123
graph8,"[(72,), (25,)]",34.66,3.514173
graph8,"[(201,), (29,)]",17.56,2.296471
graph8,"[(17,), (137,)]",14.24,2.024565
graph8,"[(114, 8), (11,)]",32.09,3.365525
graph8,"[(179, 99), (34,)]",37.8,3.594627
graph8,"[(29, 192), (136,)]",17.81,2.152689
graph8,"[(217, 128), (6, 118)]",31.14,3.18968
graph8,"[(192, 63), (15, 141)]",32.13,3.402252
graph8,"[(55, 70), (110, 107)]",39.67,3.860133
graph8,"[(0, 83, 121), (197, 176)]",51.56,4.416058
graph8,"[(96, 0, 30), (197, 88)]",43.99,3.997772
graph8,"[(122, 20, 18), (23, 10)]",42.04,3.863679
graph8,"[(144, 117, 60), (58, 114, 210)]",64.04,5.137369
graph8,"[(152, 201, 15), (168, 26, 133)]",45.78,4.009049
graph8,"[(218, 169, 10), (33, 132, 117)]",63.37,4.952159
graph8,"[(3, 37, 1, 7), (159, 132, 24)]",50.67,4.225382
graph8,"[(35, 183, 119, 178), (165, 220, 58)]",65.31,5.095753
graph8,"[(174, 57, 67, 96), (52, 54, 119)]",68.31,5.243166
graph8,"[(156, 35, 196, 124), (125, 214, 86, 19)]",64.54,5.00839
graph8,"[(66, 84, 61, 94), (145, 146, 98, 181)]",69.79,5.148138
graph8,"[(32, 52, 146, 86), (65, 5, 129, 44)]",65.45,4.899638
graph8,"[(179, 178, 200, 207, 33), (120, 84, 125, 4)]",74.91,5.292673
graph8,"[(3, 47, 101, 168, 213), (68, 6, 126, 8)]",62.82,4.846035
graph8,"[(219, 134, 117, 195, 91), (111, 114, 135, 175)]",70.69,5.113418
graph8,"[(111, 52, 167, 130, 95), (91, 194, 172, 196, 81)]",80.99,5.405673
graph8,"[(62, 68, 197, 190, 220), (146, 13, 201, 153, 47)]",89.55,5.650858
graph8,"[(144, 122, 151, 91, 198), (201, 3, 85, 105, 167)]",75.18,5.318986
