graph,seed,INF,time
graph24,"[(), (51,)]",26.989,0.0
graph24,"[(52,), (51,)]",50.312,8.67
graph24,"[(52, 190), (51,)]",65.374,91.48
graph24,"[(52, 190), (51, 29)]",78.143,164.77
graph24,"[(52, 190), (51, 29, 76)]",88.827,248.22000000000003
graph24,"[(52, 190, 12), (51, 29, 76)]",95.051,589.3
graph24,"[(52, 190, 12, 170), (51, 29, 76)]",100.485,643.9699999999999
graph24,"[(52, 190, 12, 170), (51, 29, 76, 25)]",104.957,716.7399999999999
graph24,"[(52, 190, 12, 170), (51, 29, 76, 25, 87)]",109.62,752.4899999999999
graph24,"[(52, 190, 12, 170, 189), (51, 29, 76, 25, 87)]",114.55,763.18
graph24,"[(136,), ()]",5.78,0.99464
graph24,"[(22,), ()]",8.77,1.273679
graph24,"[(71,), ()]",6.84,1.056303
graph24,"[(130,), (133,)]",17.02,2.292794
graph24,"[(52,), (16,)]",30.66,2.936857
graph24,"[(83,), (65,)]",13.21,1.863477
graph24,"[(75, 73), (150,)]",27.28,3.050756
graph24,"[(58, 74), (157,)]",27.14,2.860382
graph24,"[(104, 5), (10,)]",23.27,2.644148
graph24,"[(187, 133), (190, 189)]",41.43,3.92572
graph24,"[(150, 121), (77, 48)]",31.86,3.308342
graph24,"[(0, 81), (167, 159)]",31.37,3.182997
graph24,"[(149, 204, 114), (20, 45)]",45.28,3.94964
graph24,"[(35, 171, 18), (164, 195)]",44.38,3.946474
graph24,"[(50, 146, 150), (102, 91)]",43.11,3.956754
graph24,"[(168, 102, 106), (201, 42, 64)]",46.68,4.039696
graph24,"[(35, 130, 162), (120, 195, 200)]",46.59,4.05327
graph24,"[(98, 3, 61), (72, 30, 50)]",53.08,4.384479
graph24,"[(41, 177, 182, 205), (169, 149, 98)]",70.39,5.061619
graph24,"[(45, 167, 17, 99), (165, 74, 103)]",45.56,3.769703
graph24,"[(76, 83, 84, 169), (189, 182, 39)]",58.89,4.597903
graph24,"[(80, 177, 79, 21), (113, 121, 184, 117)]",52.32,4.327319
graph24,"[(84, 72, 150, 137), (190, 176, 32, 138)]",78.15,5.218629
graph24,"[(192, 24, 40, 10), (130, 49, 31, 180)]",55.2,4.394161
graph24,"[(161, 160, 193, 90, 4), (142, 17, 155, 169)]",61.45,4.531269
graph24,"[(127, 119, 154, 146, 37), (167, 64, 89, 65)]",55.57,4.25434
graph24,"[(108, 19, 66, 136, 128), (38, 121, 162, 74)]",46.36,3.882325
graph24,"[(151, 110, 5, 188, 40), (9, 46, 138, 17, 39)]",53.89,4.271305
graph24,"[(9, 68, 162, 185, 11), (52, 146, 20, 183, 32)]",69.81,4.815996
graph24,"[(159, 99, 177, 201, 166), (14, 143, 40, 146, 68)]",66.34,4.787585
