graph,seed,INF,time
graph18,"[(), (157,)]",37.72,0.0
graph18,"[(10,), (157,)]",62.249,13.05
graph18,"[(10, 169), (157,)]",78.924,82.67
graph18,"[(10, 169), (157, 61)]",90.813,243.41000000000003
graph18,"[(10, 169, 213), (157, 61)]",99.347,453.79
graph18,"[(10, 169, 213, 230), (157, 61)]",106.589,543.5600000000001
graph18,"[(10, 169, 213, 230), (157, 61, 84)]",112.906,644.4200000000001
graph18,"[(10, 169, 213, 230), (157, 61, 84, 66)]",118.769,700.3000000000001
graph18,"[(10, 169, 213, 230, 54), (157, 61, 84, 66)]",123.655,787.8100000000001
graph18,"[(10, 169, 213, 230, 54, 181), (157, 61, 84, 66)]",127.558,879.3100000000001
graph18,"[(85,), ()]",5.54,0.966351
graph18,"[(175,), ()]",11.24,1.340294
graph18,"[(113,), ()]",1.6,0.505414
graph18,"[(35,), (101,)]",13.73,1.932254
graph18,"[(180,), (164,)]",21.18,2.623695
graph18,"[(171,), (116,)]",13.37,1.795472
graph18,"[(105, 15), (146,)]",24.25,2.714795
graph18,"[(125, 203), (170,)]",36.5,3.212101
graph18,"[(195, 207), (49,)]",16.38,2.075513
graph18,"[(44, 151), (40, 68)]",39.81,3.526083
graph18,"[(230, 120), (62, 133)]",38.66,3.55577
graph18,"[(83, 176), (122, 117)]",27.11,2.872844
graph18,"[(103, 20, 181), (30, 174)]",56.17,4.390504
graph18,"[(67, 182, 161), (100, 189)]",42.62,3.821556
graph18,"[(81, 143, 169), (170, 116)]",56.59,4.259441
graph18,"[(87, 143, 14), (123, 107, 100)]",49.8,4.246381
graph18,"[(137, 129, 114), (16, 177, 48)]",44.02,3.832249
graph18,"[(103, 159, 68), (25, 149, 101)]",66.65,4.847429
graph18,"[(48, 26, 109, 14), (231, 110, 212)]",52.4,4.22777
graph18,"[(80, 25, 106, 198), (209, 58, 37)]",68.47,4.962564
graph18,"[(67, 224, 179, 51), (207, 66, 151)]",64.02,4.846901
graph18,"[(205, 195, 211, 87), (3, 184, 8, 178)]",52.9,4.259622
graph18,"[(211, 67, 94, 162), (102, 122, 123, 21)]",71.0,5.055522
graph18,"[(161, 219, 110, 134), (69, 136, 78, 113)]",53.43,4.338557
graph18,"[(222, 37, 56, 94, 5), (118, 84, 104, 191)]",68.68,4.775298
graph18,"[(144, 25, 183, 139, 102), (178, 57, 56, 90)]",75.62,5.009725
graph18,"[(203, 20, 87, 98, 148), (187, 39, 23, 92)]",56.79,4.291942
graph18,"[(115, 120, 8, 151, 130), (129, 226, 131, 188, 196)]",72.92,4.985246
graph18,"[(36, 88, 73, 110, 215), (146, 113, 7, 8, 105)]",69.34,5.006203
graph18,"[(207, 180, 178, 177, 58), (122, 50, 69, 139, 167)]",69.12,4.8357
