graph,seed,INF,time
graph17,"[(99,), ()]",30.126,0.0
graph17,"[(99,), (214,)]",54.316,6.58
graph17,"[(99, 58), (214,)]",71.329,83.41
graph17,"[(99, 58, 123), (214,)]",82.69,329.84000000000003
graph17,"[(99, 58, 123), (214, 178)]",92.588,417.85
graph17,"[(99, 58, 123), (214, 178, 38)]",101.316,546.7
graph17,"[(99, 58, 123), (214, 178, 38, 226)]",109.348,606.34
graph17,"[(99, 58, 123, 192), (214, 178, 38, 226)]",115.321,760.54
graph17,"[(99, 58, 123, 192), (214, 178, 38, 226, 21)]",120.716,824.12
graph17,"[(99, 58, 123, 192), (214, 178, 38, 226, 21, 169)]",124.611,1027.13
graph17,"[(222,), ()]",7.75,1.168065
graph17,"[(147,), ()]",3.54,0.727324
graph17,"[(198,), ()]",6.15,0.97067
graph17,"[(158,), (231,)]",11.43,1.69632
graph17,"[(199,), (226,)]",23.88,2.807332
graph17,"[(36,), (28,)]",25.95,2.89594
graph17,"[(209, 173), (229,)]",22.44,2.606588
graph17,"[(89, 240), (31,)]",22.37,2.683418
graph17,"[(48, 134), (137,)]",27.58,2.995309
graph17,"[(180, 117), (188, 73)]",26.25,2.798533
graph17,"[(194, 51), (240, 245)]",36.11,3.512297
graph17,"[(96, 47), (207, 165)]",33.37,3.368834
graph17,"[(113, 177, 72), (180, 114)]",49.19,4.389963
graph17,"[(225, 189, 58), (151, 144)]",63.79,4.865571
graph17,"[(108, 212, 27), (162, 230)]",59.85,4.752339
graph17,"[(63, 57, 165), (240, 18, 27)]",59.82,4.74263
graph17,"[(199, 163, 205), (141, 93, 238)]",54.3,4.495518
graph17,"[(211, 26, 71), (212, 194, 116)]",43.36,3.8642
graph17,"[(180, 138, 226, 170), (100, 102, 55)]",62.69,4.806333
graph17,"[(92, 94, 166, 177), (25, 2, 61)]",62.66,4.882244
graph17,"[(230, 27, 205, 171), (3, 98, 82)]",66.97,5.038571
graph17,"[(85, 27, 140, 175), (197, 156, 243, 16)]",62.03,4.845057
graph17,"[(108, 28, 92, 205), (99, 86, 59, 189)]",82.9,5.613925
graph17,"[(213, 199, 70, 14), (240, 133, 114, 130)]",66.42,5.003314
graph17,"[(215, 90, 217, 115, 27), (33, 171, 221, 159)]",79.94,5.438752
graph17,"[(110, 22, 53, 83, 121), (78, 130, 199, 238)]",67.9,5.08435
graph17,"[(58, 99, 121, 9, 139), (167, 63, 7, 31)]",81.47,5.264811
graph17,"[(61, 112, 241, 25, 183), (149, 3, 54, 177, 230)]",69.2,5.019031
graph17,"[(135, 220, 165, 152, 103), (49, 155, 87, 235, 88)]",72.55,5.169522
graph17,"[(66, 147, 24, 11, 91), (122, 202, 13, 235, 204)]",57.49,4.523458
