graph,seed,INF,time
graph13,"[(), (170,)]",32.05,0.0
graph13,"[(122,), (170,)]",57.473,5.29
graph13,"[(122, 120), (170,)]",71.22,118.14
graph13,"[(122, 120), (170, 71)]",82.581,246.26
graph13,"[(122, 120), (170, 71, 74)]",90.265,428.36
graph13,"[(122, 120, 164), (170, 71, 74)]",97.26,492.07
graph13,"[(122, 120, 164, 139), (170, 71, 74)]",105.217,506.04
graph13,"[(122, 120, 164, 139), (170, 71, 74, 38)]",110.773,645.6
graph13,"[(122, 120, 164, 139), (170, 71, 74, 38, 62)]",114.746,824.5600000000001
graph13,"[(122, 120, 164, 139, 207), (170, 71, 74, 38, 62)]",118.356,887.71
graph13,"[(28,), ()]",8.79,1.204514
graph13,"[(186,), ()]",11.89,1.431899
graph13,"[(23,), ()]",8.41,1.222218
graph13,"[(28,), (131,)]",19.01,2.349359
graph13,"[(142,), (120,)]",21.47,2.491335
graph13,"[(51,), (212,)]",14.1,1.86368
graph13,"[(10, 166), (140,)]",24.92,2.869518
graph13,"[(206, 41), (15,)]",20.89,2.488572
graph13,"[(209, 164), (61,)]",34.38,3.349452
graph13,"[(41, 104), (62, 139)]",48.18,4.200478
graph13,"[(88, 185), (83, 21)]",18.08,2.219363
graph13,"[(8, 196), (194, 110)]",27.55,2.759029
graph13,"[(52, 161, 155), (46, 203)]",37.16,3.590491
graph13,"[(67, 115, 23), (169, 92)]",38.95,3.603025
graph13,"[(97, 192, 144), (50, 158)]",30.48,3.075768
graph13,"[(162, 122, 156), (108, 42, 151)]",53.73,4.24641
graph13,"[(204, 59, 172), (102, 168, 125)]",45.84,4.003738
graph13,"[(66, 93, 67), (173, 142, 164)]",47.48,4.050789
graph13,"[(137, 192, 87, 80), (28, 36, 165)]",52.16,4.169383
graph13,"[(175, 11, 63, 105), (128, 130, 188)]",52.99,4.255052
graph13,"[(94, 28, 2, 129), (107, 161, 9)]",60.32,4.631654
graph13,"[(120, 185, 156, 129), (57, 134, 86, 118)]",71.7,5.027502
graph13,"[(36, 31, 206, 15), (99, 145, 72, 196)]",51.43,4.27637
graph13,"[(12, 114, 99, 9), (150, 204, 52, 119)]",68.43,4.906046
graph13,"[(206, 153, 22, 43, 2), (60, 74, 15, 103)]",77.33,5.09838
graph13,"[(87, 146, 48, 72, 73), (165, 90, 156, 169)]",67.05,4.841964
graph13,"[(35, 32, 194, 207, 185), (112, 118, 103, 201)]",71.8,5.107649
graph13,"[(181, 199, 93, 85, 62), (1, 189, 53, 141, 14)]",77.13,5.143601
graph13,"[(126, 82, 7, 108, 133), (137, 94, 48, 53, 59)]",50.04,4.105183
graph13,"[(55, 35, 166, 44, 165), (69, 25, 132, 80, 68)]",63.76,4.692613
