graph,seed,INF,time
graph21,"[(94,), ()]",34.151,0.0
graph21,"[(94,), (10,)]",58.992,10.98
graph21,"[(94,), (10, 142)]",76.307,77.2
graph21,"[(94, 71), (10, 142)]",89.151,235.29000000000002
graph21,"[(94, 71, 141), (10, 142)]",96.476,574.21
graph21,"[(94, 71, 141, 89), (10, 142)]",103.887,597.1500000000001
graph21,"[(94, 71, 141, 89), (10, 142, 178)]",111.37,638.07
graph21,"[(94, 71, 141, 89), (10, 142, 178, 171)]",117.23,684.21
graph21,"[(94, 71, 141, 89, 80), (10, 142, 178, 171)]",123.16,685.85
graph21,"[(94, 71, 141, 89, 80, 65), (10, 142, 178, 171)]",126.826,888.25
graph21,"[(195,), ()]",2.9,0.635728
graph21,"[(25,), ()]",8.29,1.218345
graph21,"[(41,), ()]",7.62,1.160515
graph21,"[(209,), (155,)]",26.64,2.980887
graph21,"[(196,), (71,)]",37.84,3.888896
graph21,"[(128,), (173,)]",20.46,2.4268
graph21,"[(4, 23), (59,)]",36.38,3.608618
graph21,"[(25, 193), (66,)]",24.61,2.793125
graph21,"[(88, 122), (181,)]",33.39,3.455974
graph21,"[(179, 90), (111, 113)]",24.41,2.673944
graph21,"[(80, 210), (175, 211)]",47.55,4.254073
graph21,"[(150, 140), (40, 194)]",36.1,3.636857
graph21,"[(121, 107, 161), (111, 164)]",40.79,3.682345
graph21,"[(75, 98, 14), (108, 109)]",45.73,4.011801
graph21,"[(48, 204, 190), (28, 196)]",57.57,4.804435
graph21,"[(96, 197, 35), (75, 8, 81)]",51.8,4.457347
graph21,"[(0, 192, 11), (161, 97, 184)]",50.18,4.270932
graph21,"[(134, 83, 28), (210, 71, 25)]",72.36,5.400335
graph21,"[(155, 73, 110, 9), (101, 169, 20)]",49.31,4.137595
graph21,"[(144, 108, 37, 25), (11, 19, 78)]",63.92,4.917811
graph21,"[(27, 133, 52, 177), (26, 87, 37)]",62.61,4.941141
graph21,"[(158, 18, 80, 4), (182, 161, 172, 191)]",67.23,4.987405
graph21,"[(193, 222, 137, 138), (45, 103, 23, 110)]",60.16,4.771769
graph21,"[(7, 74, 177, 220), (26, 186, 21, 179)]",65.83,4.810063
graph21,"[(182, 125, 104, 16, 24), (192, 63, 82, 78)]",65.79,4.882212
graph21,"[(142, 84, 177, 170, 126), (79, 99, 90, 151)]",66.0,4.760275
graph21,"[(52, 200, 171, 133, 196), (117, 212, 127, 152)]",67.8,4.984285
graph21,"[(198, 38, 165, 19, 119), (177, 132, 121, 74, 88)]",63.02,4.741927
graph21,"[(186, 139, 63, 48, 60), (26, 141, 6, 0, 177)]",84.98,5.560902
graph21,"[(193, 62, 57, 187, 111), (124, 14, 183, 86, 181)]",73.14,5.19776
